"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"1.36.0.0","1-36-0-000.ptr.netvigator.com","Hong Kong","Central and Western District","Central","HKT Limited","4760","22.2908","114.1501"
"1.64.0.0","1-64-0-000.static.netvigator.com","Hong Kong","Central and Western District","Central","HKT Limited","4760","22.2908","114.1501"
"1.178.208.0","","Hong Kong","","","","","22.2578","114.1657"
"2.57.124.0","","Hong Kong","","","POWER LINE DATACENTER","132839","22.2578","114.1657"
"2.59.100.0","","Hong Kong","","","POWER LINE DATACENTER","132839","22.2578","114.1657"
"2.59.152.0","","United States","","","","","37.751","-97.822"
"5.10.73.8","8.49.0a05.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.10.77.96","60.4d.0a05.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.10.97.228","e4.61.0a05.ip4.static.sl-reverse.com","United Kingdom","England","London","SOFTLAYER","36351","51.5164","-0.093"
"5.10.123.160","a0.7b.0a05.ip4.static.sl-reverse.com","United Kingdom","England","London","SOFTLAYER","36351","51.5164","-0.093"
"5.153.18.40","28.12.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.27.96","60.1b.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.43.96","60.2b.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.43.208","d0.2b.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.58.216","d8.3a.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
