"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"1.0.16.0","","Japan","","","","","35.6897","139.6895"
"1.0.64.0","","Japan","Hiroshima","Hiroshima","Energia Communications,Inc.","18144","34.3978","132.4525"
"1.1.64.0","","Japan","","","ARTERIA Networks Corporation","2519","35.6897","139.6895"
"1.5.0.0","","Japan","","","SoftBank Corp.","4725","35.6897","139.6895"
"1.21.0.0","","Japan","Tokyo","Setagaya-ku","ARTERIA Networks Corporation","2519","35.6435","139.6816"
"1.33.0.0","pl41216.ag1001.nttpc.ne.jp","Japan","Chiba","Takasaki","NTT PC Communications, Inc.","2514","35.087","139.8438"
"1.66.0.0","","Japan","","","","","35.6897","139.6895"
"1.72.0.0","sp1-72-0-0.msc.spmode.ne.jp","Japan","Tokyo","Tokyo","NTT DOCOMO, INC.","9605","35.6893","139.6899"
"1.112.0.0","softbank001112000000.bbtec.net","Japan","","","Softbank BB Corp.","17676","35.6897","139.6895"
"5.10.69.112","70.45.0a05.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.10.81.64","40.51.0a05.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.10.82.136","88.52.0a05.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.10.86.32","20.56.0a05.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.10.89.168","a8.59.0a05.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.10.93.160","a0.5d.0a05.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.10.93.164","a4.5d.0a05.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.10.96.64","40.60.0a05.ip4.static.sl-reverse.com","United Kingdom","England","London","SOFTLAYER","36351","51.5164","-0.093"
"5.10.102.144","90.66.0a05.ip4.static.sl-reverse.com","United Kingdom","England","London","SOFTLAYER","36351","51.5164","-0.093"
"5.10.103.224","test.com","United Kingdom","England","London","SOFTLAYER","36351","51.5164","-0.093"
"5.10.108.144","90.6c.0a05.ip4.static.sl-reverse.com","United Kingdom","England","London","SOFTLAYER","36351","51.5164","-0.093"
"5.10.114.20","14.72.0a05.ip4.static.sl-reverse.com","United Kingdom","England","London","SOFTLAYER","36351","51.5164","-0.093"
"5.10.122.112","70.7a.0a05.ip4.static.sl-reverse.com","United Kingdom","England","London","SOFTLAYER","36351","51.5164","-0.093"
"5.11.82.0","","Netherlands","","","Webzilla B.V.","35415","52.3824","4.8995"
"5.153.13.64","40.0d.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.13.104","68.0d.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.13.128","80.0d.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.14.48","30.0e.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.24.8","8.18.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.26.40","28.1a.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.27.204","cc.1b.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.40.176","b0.28.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.44.56","38.2c.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.48.232","e8.30.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.49.192","c0.31.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.53.168","a8.35.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.54.232","e8.36.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.59.192","c0.3b.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"14.0.8.0","","Japan","","","INTERNET MULTIFEED CO.","55391","35.6897","139.6895"
"14.1.4.0","","Japan","","","INTERNET MULTIFEED CO.","55392","35.6897","139.6895"
"14.1.8.0","","Japan","","","Nagasaki Cable Media Inc.","10000","35.6897","139.6895"
