"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"1.11.0.0","","South Korea","","","LG HelloVision Corp.","18313","37.5112","126.9741"
"1.16.0.0","","South Korea","","","DAOU TECHNOLOGY","45996","37.5112","126.9741"
"1.96.0.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"1.176.0.0","","South Korea","Gyeongsangnam-do","Changwon","LG HelloVision Corp.","9845","35.2317","128.6822"
"1.201.0.0","","South Korea","","","Kakao Corp","38099","37.5112","126.9741"
"1.208.0.0","","South Korea","","","LG DACOM Corporation","3786","37.5112","126.9741"
"1.224.0.0","","South Korea","Gyeonggi-do","Ansan-si","SK Broadband Co Ltd","9277","37.3253","126.8178"
"5.153.8.32","20.08.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.18.0","0.12.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.22.160","a0.16.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"14.0.32.0","","Japan","Tokyo","Tokyo","QUANTILNETWORKS","54994","35.6893","139.6899"
"14.0.64.0","","South Korea","","","CDNetworks","38107","37.5112","126.9741"
"14.4.0.0","","South Korea","Gyeonggi-do","Osan","LG POWERCOMM","17858","37.1579","127.0662"
"14.32.0.0","","South Korea","Seoul","Seoul","Korea Telecom","4766","37.5576","126.9937"
"14.64.0.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"14.128.128.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"14.129.0.0","","South Korea","","","DAOU TECHNOLOGY","45996","37.5112","126.9741"
"14.138.0.0","","South Korea","Gyeonggi-do","Seongnam-si","KangNam CableTV","9943","37.4331","127.1377"
"14.192.80.0","","South Korea","","","flexnetworks","38676","37.5112","126.9741"
"14.206.0.0","","South Korea","","","Piranha Systems","38701","37.5112","126.9741"
"27.0.236.0","","South Korea","","","Kakao Corp","38099","37.5112","126.9741"
"27.1.0.0","","South Korea","Seoul","Gwanak-gu","KangNam CableTV","9943","37.4749","126.9571"
"27.35.0.0","","South Korea","Seoul","Gwanak-gu","HYUNDAI COMMUNICATIONS NETWORK","9762","37.4749","126.9571"
"27.96.128.0","","South Korea","","","NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.","135354","37.5112","126.9741"
"27.96.136.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"27.96.144.0","","South Korea","","","","","37.5112","126.9741"
"27.96.160.0","","South Korea","","","","","37.5112","126.9741"
"27.100.128.0","","South Korea","Seoul","Gangbuk-gu","KCTV JEJU BROADCASTING","9946","37.6294","127.0067"
