"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"1.34.0.0","1-34-0-0.hinet-ip.hinet.net","China","Jiangsu","Taiwan","Data Communication Business Group","3462","32.3279","118.7675"
"1.160.0.0","1-160-0-0.dynamic-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"1.200.0.0","","Taiwan","Taipei City","Taipei","Taiwan Star Telecom Corporation Limited.Former Vibo Telecom Inc.","24157","25.0504","121.5324"
"2.58.240.0","","United States","California","Los Angeles","HostingInside LTD.","9678","34.0485","-118.2529"
"5.153.23.160","a0.17.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.39.0","0.27.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.51.224","e0.33.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"23.247.4.0","23.247.4.0.static.layerhost.com","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.10.96","","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.25.128","zilla.sloteps.com","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.45.224","","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.86.64","","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.86.192","","United States","","","LAYER-HOST","46573","37.751","-97.822"
"27.0.152.0","","Taiwan","","","Digidom CableTV Co., LTD.","131607","24","121"
"27.51.0.0","27-51-0-0.adsl.fetnet.net","Taiwan","New Taipei","","Far EastTone Telecommunication Co., Ltd.","9674","25.0355","121.5232"
"27.52.0.0","27-52-0-0.adsl.fetnet.net","Taiwan","Taoyuan","Taoyuan District","Far EastTone Telecommunication Co., Ltd.","9674","24.9889","121.3176"
"27.96.224.0","27-96-224-0.veetime.com","Taiwan","Taichung City","Taichung","VEE TIME CORP.","17809","24.144","120.6844"
"27.100.64.0","0-64-100-27.tinp.net.tw","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"27.105.0.0","27-105-0-0-adsl-TPE.dynamic.so-net.net.tw","Taiwan","Tainan","Beihua","Sony Network Taiwan Limited","18182","22.9692","120.3428"
"27.147.0.0","","Taiwan","New Taipei","New Taipei","Extra-Lan Technologies Co., LTD","18429","24.9466","121.586"
"27.240.0.0","27-240-0-0.adsl.fetnet.net","Taiwan","","","Far EastTone Telecommunication Co., Ltd.","9674","24","121"
"36.224.0.0","36-224-0-0.dynamic-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"37.58.89.136","88.59.3a25.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"37.252.243.0","","Taiwan","Taipei City","Taipei","ANEXIA Internetdienstleistungs GmbH","42473","25.0504","121.5324"
"39.1.0.0","39-1-0-0-adsl-KHH.dynamic.so-net.net.tw","Taiwan","","","Sony Network Taiwan Limited","18182","24","121"
"39.8.0.0","39-8-0-0.adsl.fetnet.net","Taiwan","New Taipei","New Taipei","Far EastTone Telecommunication Co., Ltd.","9674","24.9466","121.586"
"42.0.64.0","","Taiwan","Kaohsiung","Kaohsiung City","Digital United Inc.","4780","22.6148","120.3139"
"42.64.0.0","42-64-0-0.emome-ip.hinet.net","Taiwan","","","","","24","121"
"43.224.20.0","","Taiwan","","","Kaopu Cloud HK Limited","138915","24","121"
"43.224.248.0","","Taiwan","","","Cloudie Limited","55933","24","121"
"43.226.232.0","","Taiwan","","","TNET Communication Inc. 10F., No.78, Sec. 2, Chongxin Rd., Sanchong Dist.,New Taipei City, T","38851","24","121"
"43.227.24.0","","Taiwan","","","TNET Communication Inc. 10F., No.78, Sec. 2, Chongxin Rd., Sanchong Dist.,New Taipei City, T","38851","24","121"
"43.240.24.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"43.240.44.0","","Taiwan","","","","","24","121"
"43.240.104.0","","Taiwan","","","Asia Pacific Telecom","17709","24","121"
"43.240.108.0","","Taiwan","","","","","24","121"
"43.240.152.0","","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"43.241.32.0","","Taiwan","","","TRIUMPH DYNASTY Limited","133747","24","121"
"43.241.160.0","","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"43.243.252.0","","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"43.246.188.0","","Taiwan","","","","","24","121"
"43.246.216.0","","Taiwan","","","Magna Hosting Ltd","141742","24","121"
"43.248.16.0","","Taiwan","Taipei City","Taipei","DongFong Technology Co. Ltd.","18046","25.0504","121.5324"
"43.250.44.0","","Taiwan","","","TNET Communication Inc. 10F., No.78, Sec. 2, Chongxin Rd., Sanchong Dist.,New Taipei City, T","38851","24","121"
"43.251.56.0","","Taiwan","","","","","24","121"
"43.251.60.0","","Taiwan","","","PEGATRON","131593","24","121"
